state,year,vote,margin,class,termshouse,termssenate,population
3,1984,57.063515,10.124713,2,0,1,5840773
3,1988,58.074856,31.044022,1,0,15,5979982
3,1990,52.206749,14.195374,2,0,4,6018664
3,1994,72.689064,17.064774,1,,,6031352
3,1996,80.028381,7.4928226,2,,,6085393
3,2000,69.302467,58.240257,1,,,6349364
3,2002,65.858765,60.05677,2,,,6417206
3,2008,,34.931324,2,,,6468967
4,1918,40.2435,-7.1211934,2,0,1,440000
4,1920,37.680603,-16.092232,3,0,3,444000
4,1924,41.897251,-19.512999,2,0,4,457000
4,1926,50.345604,-24.638796,3,0,6,463000
4,1930,47.665386,-15.97952,2,0,7,466000
4,1932,45.7659,1.0791302,3,0,1,474000
4,1936,45.394653,-4.1939945,2,0,1,481000
4,1938,49.069138,-8.4681988,3,3,1,485000
4,1942,41.166813,-9.2106934,2,0,4,481000
4,1944,38.028996,-1.8617243,3,3,4,456000
4,1948,39.779781,-16.976374,2,0,7,520000
4,1954,39.654316,-20.440435,2,0,10,554000
4,1956,40.29063,-28.143272,3,4,3,566000
4,1962,40.703999,-19.418739,3,4,6,632000
4,1966,56.880753,8.1319628,2,0,4,681000
4,1972,48.50462,13.763666,2,0,7,781107
4,1978,40.958519,-2.1988094,2,0,1,891520
4,1980,32.371349,-4.2937131,3,0,1,920610
4,1984,31.394941,-17.788744,2,0,4,976864
4,1986,45.32692,-30.589857,3,0,4,1025053
4,1990,46.222095,-33.868736,2,3,1,1111831
4,1992,28.220766,-2.8180063,3,4,1,1112766
4,1996,46.401646,-3.0300884,2,,,1160768
4,1998,33.716896,-39.559181,3,,,1185823
4,2002,51.589626,-4.4172316,2,,,1269089
4,2004,36.81102,-32.461201,3,,,1290121
4,2008,,6.3379169,2,,,1315906
4,2010,,-23.217234,3,,,1316470
5,1916,52.167862,8.8178072,1,1,1,598000
5,1922,49.298695,8.7853756,1,1,4,644000
5,1924,49.168472,-15.835348,2,0,2,669000
5,1928,57.12244,-1.2698561,1,0,1,678000
5,1930,48.611946,-1.1273801,2,0,5,686000
5,1934,55.161678,14.272488,1,1,7,675000
5,1936,57.967918,4.231307,2,0,1,686000
5,1940,55.112457,10.32336,1,1,10,719000
5,1942,59.287369,15.935842,2,0,4,748000
5,1948,59.289581,18.574738,2,0,7,787000
5,1952,64.485847,9.5572023,1,0,3,802000
5,1954,68.896683,18.579161,2,0,10,816000
5,1958,82.730728,28.971695,1,0,6,858000
5,1960,67.659462,37.793358,2,0,1,859000
5,1964,67.542244,65.461456,1,0,9,885000
5,1966,53.682961,35.318924,2,0,4,899000
5,1970,42.031204,36.081493,1,0,12,949723
5,1972,75.112396,7.9703751,2,0,7,974790
5,1976,48.802139,-15.708965,1,0,1,946089
5,1978,72.552574,50.224792,2,0,10,951816
5,1982,45.407425,-2.3957224,1,0,4,954170
5,1984,61.833199,45.105145,2,0,13,961894
5,1988,35.476624,-9.1851559,1,0,7,996408
5,1990,63.482224,23.666397,2,0,16,1004649
5,1996,78.392281,28.430447,2,,,987858
5,2000,53.472424,-15.731323,1,,,1048259
5,2002,73.404488,56.818211,2,,,1065995
5,2006,,7.0330591,1,,,1063096
5,2008,,46.808971,2,,,1055003
6,1914,21.933214,-56.035404,3,0,9,362000
6,1916,32.066189,-50.794697,1,0,6,360000
6,1922,28.445885,-35.867622,1,6,1,354000
6,1926,44.849586,-46.886055,3,5,3,356000
6,1934,33.550587,-2.671185,1,0,3,357000
6,1944,21.989212,-31.60944,3,0,3,314000
6,1946,27.672476,-49.270519,1,0,2,342000
6,1950,33.604439,-55.999149,3,0,6,378000
6,1952,47.842369,-44.644665,1,0,5,375000
6,1956,33.066116,-32.788544,3,0,9,377000
6,1958,46.52084,-4.3104439,1,4,1,380000
6,1962,0,-33.867764,3,0,12,393000
6,1964,40.201035,-6.9498005,1,4,4,399000
6,1968,49.469784,-99.859573,3,0,15,430000
6,1974,49.759048,3.0860395,3,0,1,473002
6,1976,47.225346,-4.6564398,1,6,4,484928
6,1980,63.156635,1.1684269,3,0,4,511456
6,1982,29.764982,-3.0416102,1,6,7,519109
6,1986,54.162014,28.659454,3,0,7,534066
6,1988,40.566536,-38.204834,1,7,1,549763
6,1992,72.215424,10.816863,3,0,10,570115
6,1994,25.425303,-9.7495165,1,,,578900
6,1998,70.627068,49.765457,3,,,590579
6,2004,64.326164,46.084087,3,,,619920
6,2006,,-67.638016,1,,,622892
6,2010,,33.413837,3,,,625741
11,1918,40.628941,-3.3434777,2,1,3,220000
11,1922,39.050053,0.43396354,1,0,2,214000
11,1928,46.155941,-21.8999,1,0,1,233000
11,1930,52.976036,-9.1305103,2,0,3,239000
11,1934,50.633533,-7.1173549,1,0,4,250000
11,1936,44.921928,11.580616,2,0,1,253000
11,1940,44.849487,3.3326178,1,0,1,269000
11,1942,50.853836,-9.2464981,2,0,1,279000
11,1946,45.508335,-10.301021,1,0,1,299000
11,1948,56.943409,2.5763631,2,0,1,312000
11,1952,46.720886,-8.9833345,1,0,4,341000
11,1954,49.286022,13.886822,2,0,4,368000
11,1958,48.255383,-6.5582275,1,0,7,433000
11,1960,40.881657,-1.4279574,2,3,1,446000
11,1966,50.47514,-18.236685,2,3,4,516000
11,1970,43.607327,-18.730911,1,2,2,548104
11,1972,57.955723,1.3758123,2,0,1,572913
11,1976,44.204544,-12.206313,1,2,5,590166
11,1978,60.110519,16.937536,2,0,4,594776
11,1982,37.938667,-10.967743,1,2,8,599148
11,1984,62.679291,20.221039,2,0,7,611565
11,1988,42.483253,-24.122667,1,2,11,647622
11,1990,60.040058,26.846214,2,0,10,669063
11,1994,55.521881,-13.331726,1,,,708416
11,1996,58.21991,21.908188,2,,,727090
11,2000,67.126198,11.826599,1,,,783559
11,2002,64.686516,17.416084,2,,,806169
11,2006,,39.68256,1,,,859268
12,1916,54.871403,-17.089155,1,0,1,2918000
12,1918,33.669895,-7.1086702,2,0,1,3043000
12,1922,41.840485,10.824492,1,0,1,3380000
12,1928,57.902302,-16.02672,1,0,1,3968000
12,1936,45.809372,10.562929,2,0,1,4084000
12,1942,47.297852,-7.2826834,2,0,1,4297000
12,1946,43.618889,-18.384892,1,0,3,4492000
12,1948,48.46825,-2.69033,2,0,1,4774000
12,1952,51.390903,-11.888152,1,0,6,5125000
12,1954,43.21114,-0.19033551,2,5,1,5360000
12,1958,61.910629,4.4938984,1,2,1,5890000
12,1960,36.984344,-12.476641,2,5,4,6067000
12,1964,54.015743,24.588171,1,2,4,6660000
12,1966,34.513077,-23.035845,2,5,7,6851000
12,1970,60.660534,11.859733,1,2,7,7171112
12,1972,55.3232,-27.94796,2,5,10,7335042
12,1976,50.937878,22.610748,1,2,10,7339745
12,1978,64.158638,12.197095,2,0,1,7350804
12,1984,50.442772,29.276825,2,0,4,7515473
12,1988,50.294102,8.3667545,1,4,3,7712333
12,1990,52.67934,3.0403585,2,0,7,7757158
12,1994,50.112946,3.2723427,1,,,7918796
12,1996,53.876305,10.107502,2,,,8009624
12,2002,56.030117,9.9286947,2,,,8552643
12,2006,,9.0249653,1,,,8661679
12,2008,,14.076117,2,,,8711090
13,1914,32.902725,-4.9822421,3,0,1,9585000
13,1916,52.598042,-15.103719,1,5,1,9848000
13,1920,46.48407,-19.460436,3,0,4,282000
13,1922,49.076385,11.587196,1,0,1,589000
13,1926,55.773907,4.0880737,3,0,1,1257000
13,1928,55.340122,1.1834025,1,0,4,1599000
13,1932,54.483898,17.213249,3,0,4,3001000
13,1938,53.05859,9.5659704,3,0,7,3512000
13,1940,47.419064,6.601757,1,10,3,3456000
13,1946,36.126682,-5.1618724,1,0,1,3398000
13,1950,46.71793,5.0677032,3,0,2,14830000
13,1952,48.37487,-19.085226,1,0,4,15192000
13,1956,40.141609,-6.5641403,3,4,1,16112000
13,1958,53.467186,-2.3740144,1,6,1,16601000
13,1962,32.677452,-17.237839,3,4,4,17301000
13,1968,38.224899,-17.003149,3,4,7,18051000
13,1970,54.157066,-2.1644979,1,0,1,18241391
13,1974,43.536133,-7.0959625,3,4,10,18049775
13,1976,65.066017,9.2718925,1,0,1,17940541
13,1980,38.42297,-1.3465047,3,0,1,17558072
13,1982,67.019737,30.908585,1,0,4,17589738
13,1986,47.782677,-14.604274,3,0,4,17833419
13,1988,55.19836,35.968746,1,0,7,17941309
13,1992,54.617245,-1.2509078,3,0,7,18082032
13,1994,55.27137,13.72863,1,,,18156652
13,1998,71.160866,10.535163,3,,,18159175
13,2000,67.00206,12.26548,1,,,18977026
13,2004,66.304443,46.916508,3,,,19171567
13,2010,,34.098904,3,,,19378102
14,1914,27.188438,-22.79015,3,0,10,8276000
14,1922,33.997341,-26.445475,1,0,2,8982000
14,1928,50.777035,-30.380932,1,0,5,9802000
14,1932,44.415611,-6.284791,3,0,3,9764000
14,1934,51.788078,4.3206005,1,0,1,9795000
14,1938,49.98764,-10.287446,3,0,6,9952000
14,1940,39.814377,4.4251947,1,0,4,9896000
14,1944,47.738712,0.63778758,3,3,1,9214000
14,1946,47.979218,-19.442045,1,0,1,9866000
14,1950,50.081764,-3.5597861,3,0,1,10498000
14,1952,48.383148,-3.5950601,1,0,4,10503000
14,1956,51.064121,0.39669573,3,0,1,10972000
14,1958,49.11124,-2.8271704,1,8,1,11058000
14,1962,45.795029,2.3664804,3,0,4,11355000
14,1964,45.379681,-1.470387,1,8,4,11519000
14,1968,45.894402,-6.1004934,3,4,1,11741000
14,1970,46.784245,-6.0459256,1,8,7,11800766
14,1974,48.039177,-7.1078005,3,4,4,11870884
14,1976,39.204292,-5.6070032,1,3,1,11897378
14,1980,42.869217,-2.4448128,3,0,1,11863895
14,1982,32.445488,-20.073011,1,3,4,11845146
14,1986,46.330196,-13.566822,3,0,4,11782752
14,1992,34.787468,-2.7727544,3,0,7,11980819
14,1994,45.509087,-2.4822383,1,,,12042545
14,1998,41.987442,-26.55423,3,,,12002329
14,2000,58.636581,-6.9069891,1,,,12280548
14,2006,,17.353556,1,,,12510809
14,2010,,-2.0169883,3,,,12702379
21,1914,26.819542,-1.6989291,3,0,2,6109000
21,1924,64.020988,-28.168396,2,0,2,7215000
21,1930,56.472076,33.290676,2,1,4,7644000
21,1932,51.329823,6.2106519,3,1,1,7736000
21,1938,52.607624,2.9951334,3,2,1,7866000
21,1942,55.066593,-6.8234262,2,0,3,8057000
21,1944,45.757095,5.5501847,3,2,4,7719000
21,1948,53.572582,10.453799,2,0,1,8552000
21,1950,45.720066,-8.125329,3,8,1,8712000
21,1954,54.631008,7.1452856,2,0,4,9252000
21,1956,47.126053,-8.3817902,3,8,4,9530000
21,1960,43.899246,9.4348431,2,0,7,10081000
21,1962,46.592255,-5.7477088,3,8,7,10280000
21,1966,37.345684,-11.047146,2,0,1,10836000
21,1972,45.472347,-24.868763,2,0,4,11251948
21,1974,56.010605,24.929514,3,0,4,11262145
21,1978,50.073059,-7.8663292,2,0,7,11412561
21,1980,65.125504,13.515326,3,0,1,11426518
21,1984,65.068398,1.8617034,2,5,1,11412132
21,1986,53.268509,31.383471,3,0,4,11387257
21,1990,56.085247,30.136803,2,5,4,11446979
21,1992,47.467419,10.211357,3,0,1,11635197
21,1996,60.334267,15.413943,2,,,11953003
21,1998,69.968727,-2.9044957,3,,,12069774
21,2002,67.84095,22.314199,2,,,12525556
21,2008,,39.310856,2,,,12747038
21,2010,,-1.5986085,3,,,12830632
22,1916,50.86462,-1.6298056,1,0,1,2897000
22,1920,48.956223,-13.417691,3,6,4,2947000
22,1926,55.567814,-1.0800034,3,6,7,3148000
22,1928,51.457672,-11.180962,1,0,3,3212000
22,1932,49.841385,13.30372,3,0,1,3281000
22,1934,49.129696,3.9805741,1,0,1,3319000
22,1940,43.363014,-1.3218045,1,0,1,3433000
22,1944,46.351028,-1.3154387,3,0,1,3440000
22,1946,46.819824,-11.542013,1,0,2,3702000
22,1950,44.388351,-6.4600286,3,0,4,3934000
22,1952,56.455822,-5.6232986,1,0,5,4148000
22,1956,50.303997,-10.818866,3,0,7,4458000
22,1958,54.334385,14.03231,1,0,1,4583000
22,1962,51.651001,0.60798824,3,0,1,4736000
22,1964,50.123238,9.0028582,1,0,4,4856000
22,1968,50.729042,3.5012603,3,0,4,5093000
22,1970,40.462749,0.24647713,1,0,7,5195392
22,1974,46.214207,4.2871027,3,0,7,5361890
22,1976,45.584435,-18.299252,1,0,1,5389088
22,1980,38.50972,-7.5715899,3,2,1,5490224
22,1982,31.857145,-8.2486153,1,0,4,5467922
22,1988,30.500698,-36.285709,1,0,7,5491735
22,1992,63.718571,-16.632887,3,5,3,5648649
22,1994,31.851116,-36.851372,1,,,5745626
22,1998,61.648781,28.925287,3,,,5907617
22,2000,0,-34.713211,1,,,6080827
22,2004,39.999001,24.423647,3,,,6233007
22,2006,,-87.356903,1,,,6332669
22,2010,,-14.579755,3,,,6483802
23,1916,50.591286,-16.48488,1,4,4,3353000
23,1924,20.905853,-49.650913,2,0,3,4214000
23,1928,47.024517,-44.143589,1,0,2,4665000
23,1934,46.978943,-4.2995424,1,0,5,4798000
23,1936,47.194206,11.484509,2,2,2,4889000
23,1940,31.995836,-5.6672277,1,0,8,5315000
23,1942,48.510277,-2.3577957,2,0,1,5549000
23,1948,50.752037,-2.1738589,2,0,4,6213000
23,1952,53.572041,-1.5928358,1,3,2,6650000
23,1954,51.731068,1.824379,2,0,1,7066000
23,1958,64.381897,7.4836998,1,0,1,7667000
23,1964,66.826134,29.037291,1,0,4,8187000
23,1966,46.29285,-12.054205,2,5,2,8512000
23,1970,52.455093,33.945404,1,0,7,8881826
23,1972,52.138596,-5.9844284,2,5,5,9028944
23,1976,57.735477,5.6133718,1,5,1,9129205
23,1978,51.766121,4.2867513,2,0,1,9217761
23,1982,60.378613,16.882053,1,5,4,9115198
23,1984,57.479263,4.607728,2,0,4,9049452
23,1988,42.747139,21.923824,1,5,7,9217998
23,1990,58.357323,16.249132,2,0,7,9310462
23,1994,49.474754,-9.1283207,1,,,9584481
23,1996,60.608501,18.48819,2,,,9739184
23,2000,56.909977,1.6138196,1,,,9938823
23,2002,62.664963,22.723034,2,,,10015710
23,2006,,15.652349,1,,,10036081
23,2008,,28.818836,2,,,9946889
24,1916,47.721317,3.1115651,1,0,4,5366000
24,1920,46.598541,-18.346724,3,2,2,5799000
24,1922,39.074459,-3.1784563,1,5,1,6054000
24,1928,59.948338,-21.659872,1,5,4,6608000
24,1932,46.36134,6.642765,3,2,3,6717000
24,1934,47.627266,20.534061,1,0,1,6751000
24,1938,49.702736,-7.2773218,3,0,1,6837000
24,1944,42.462086,-0.59452951,3,0,4,6918000
24,1946,45.415394,-14.668065,1,0,1,7512000
24,1952,52.460968,-9.1692123,1,0,4,8275000
24,1956,61.560883,5.7773113,3,0,1,9207000
24,1958,50.21965,4.921937,1,4,1,9599000
24,1962,48.466293,23.121761,3,0,4,9929000
24,1964,47.449448,0.43930113,1,4,4,10080000
24,1970,49.510445,-2.2346497,1,3,1,10657423
24,1974,68.800041,33.891251,3,0,1,10765759
24,1976,56.656986,2.9928744,1,0,2,10752662
24,1980,62.450813,40.550488,3,0,4,10797630
24,1982,56.974323,15.520033,1,0,5,10757087
24,1986,50.989635,24.904451,3,0,7,10730268
24,1988,39.227772,13.952109,1,0,8,10798552
24,1992,43.534111,8.6800814,3,0,10,11007609
24,1994,35.85384,-14.208889,1,,,11111451
24,1998,36.144085,-12.925607,3,,,11237752
24,2000,56.164135,-24.061453,1,,,11353336
24,2004,39.403889,-27.706369,3,,,11452251
24,2006,,12.348917,1,,,11481213
24,2010,,-17.442408,3,,,11536504
25,1916,0,-27.399286,1,3,7,2562000
25,1920,12.196736,-32.052475,3,5,3,2679000
25,1926,56.978363,-42.82304,3,0,1,2892000
25,1928,24.236002,-85.566422,1,0,3,2923000
25,1932,24.744028,20.781401,3,0,1,3021000
25,1934,13.204048,-28.687876,1,0,6,3054000
25,1938,42.753513,-22.911285,3,0,1,3098000
25,1940,37.409435,-32.214016,1,0,9,3143000
25,1944,46.192066,-7.7499986,3,0,4,2980000
25,1946,45.565475,-23.867359,1,0,1,3167000
25,1950,41.224762,-7.1450262,3,0,7,3435000
25,1956,52.559818,-17.370251,3,0,10,3742000
25,1958,53.293449,14.400697,1,0,2,3843000
25,1962,61.692856,5.356112,3,0,1,4049000
25,1964,70.834084,6.6853018,1,0,5,4165000
25,1968,61.750984,23.386923,3,0,4,4345000
25,1970,72.188011,42.357128,1,0,8,4417821
25,1974,48.338898,25.958672,3,0,7,4545782
25,1976,63.645508,45.21888,1,0,11,4595904
25,1980,47.395855,-1.8520981,3,2,1,4705767
25,1982,52.053787,29.512077,1,0,14,4728870
25,1986,52.570133,-3.4797013,3,2,4,4755618
25,1988,58.293671,4.52843,1,0,1,4822388
25,1992,50.547523,6.5602779,3,0,1,5004636
25,1994,61.542789,17.607822,1,,,5095504
25,1998,55.350483,2.145967,3,,,5222124
25,2000,67.306557,24.506838,1,,,5363757
25,2004,47.019917,11.238742,3,,,5514026
25,2006,,37.829872,1,,,5577655
25,2010,,-4.8376322,3,,,5686986
31,1914,37.423153,-9.033206,3,0,5,2338000
31,1926,54.855656,-13.202,3,0,4,2432000
31,1930,50.484348,-13.252542,2,6,1,2475000
31,1936,41.705318,3.3609123,2,0,1,2509000
31,1938,48.373344,0.33720434,3,2,3,2494000
31,1942,57.798786,-16.266956,2,0,1,2439000
31,1944,44.700726,-2.9102535,3,0,1,2301000
31,1948,47.525772,16.238108,2,2,6,2543000
31,1950,46.082695,-10.115862,3,0,4,2621000
31,1954,48.087238,-4.6848149,2,8,1,2626000
31,1956,46.611118,-7.8346105,3,0,7,2703000
31,1960,37.797729,-3.8255215,2,0,1,2758000
31,1962,50.248318,-6.7777634,3,0,10,2750000
31,1966,55.066799,-23.116722,2,0,4,2762000
31,1968,52.042187,0.56070685,3,0,1,2803000
31,1972,47.906879,10.978839,2,0,1,2860287
31,1974,45.538723,4.7665091,3,5,1,2867530
31,1978,55.456257,-3.2173486,2,0,1,2918069
31,1980,33.574654,-7.9456806,3,3,1,2913808
31,1984,54.472713,11.797172,2,5,1,2858618
31,1986,27.200205,-32.460903,3,3,4,2791970
31,1990,51.808662,9.0561066,2,5,4,2779769
31,1992,30.493393,-42.414124,3,3,7,2806923
31,1996,54.177647,5.0944624,2,,,2848473
31,1998,27.877041,-37.918381,3,,,2861025
31,2002,62.655785,10.398647,2,,,2934234
31,2004,33.303318,-42.306526,3,,,2953635
31,2008,,25.394535,2,,,3016734
31,2010,,-31.049231,3,,,3046355
32,1914,33.359165,-0.76518655,3,7,5,1662000
32,1918,25.223545,-29.962679,2,0,1,1729000
32,1920,34.739872,-30.655489,3,7,8,1769000
32,1924,38.906906,-44.873138,2,0,4,1807000
32,1930,48.413532,-22.186193,2,0,7,1883000
32,1932,43.77972,3.6344707,3,0,3,1883000
32,1936,40.300266,-2.5858939,2,0,10,1869000
32,1938,40.653465,-12.4273,3,0,1,1842000
32,1942,42.715214,-16.81321,2,0,13,1760000
32,1948,41.836349,-12.204364,2,0,1,1892000
32,1950,40.463722,-10.420701,3,6,2,1905000
32,1954,43.765305,-14.491886,2,0,4,2042000
32,1956,35.939972,-17.434448,3,6,5,2119000
32,1962,38.663223,-26.49655,3,6,8,2231000
32,1966,22.020309,-6.9791226,2,0,4,2200000
32,1968,49.148323,-21.417627,3,4,1,2216000
32,1972,42.412586,-50.654366,2,0,7,2256375
32,1974,36.23925,-1.7033488,3,4,4,2269499
32,1978,21.235863,-11.451324,2,0,1,2335657
32,1980,29.950726,-27.521494,3,4,7,2363679
32,1984,26.395121,-54.752899,2,0,4,2424086
32,1986,31.02898,-40.098549,3,4,10,2432619
32,1990,34.436947,-47.209755,2,0,7,2480683
32,1996,0,-27.586906,2,,,2598266
32,1998,27.487242,-33.678333,3,,,2638667
32,2002,36.458466,-82.522369,2,,,2713535
32,2004,26.378548,-41.675537,3,,,2734373
32,2008,,-23.599932,2,,,2808076
32,2010,,-43.715828,3,,,2853118
33,1916,17.895021,-17.741686,1,0,1,2308000
33,1922,0,-29.203754,1,0,1,2451000
33,1924,36.127022,-40.708351,2,5,1,2521000
33,1928,29.199558,-66.292068,1,0,4,2592000
33,1934,20.55706,-21.780025,1,0,7,2695000
33,1940,39.775543,-32.439758,1,0,10,2790000
33,1942,59.929676,-36.566319,2,0,3,2662000
33,1946,42.525799,-19.147495,1,0,1,2734000
33,1948,56.384552,20.266417,2,0,1,2868000
33,1952,52.902596,-14.100862,1,0,4,3030000
33,1954,57.531593,14.273998,2,0,4,3113000
33,1958,60.337067,6.2750072,1,5,1,3313000
33,1964,57.752472,21.082533,1,5,4,3558000
33,1966,56.670208,8.7281494,2,0,2,3617000
33,1970,67.505035,16.135475,1,0,9,3806103
33,1978,41.281898,-19.221159,2,0,1,4015341
33,1982,40.920872,-6.8640084,1,0,4,4131450
33,1984,50.44117,-16.800495,2,0,4,4157706
33,1988,44.099907,-18.158257,1,0,7,4296166
33,1990,50.318909,0.8823365,2,0,1,4387283
33,1994,48.83419,-4.9518614,1,,,4566028
33,2000,58.056347,5.541554,1,,,4919631
33,2002,42.363312,-2.1933019,2,,,5018935
33,2006,,20.119921,1,,,5163555
33,2008,,0.010898709,2,,,5247018
34,1916,51.361042,3.1214089,1,0,4,3527000
34,1922,47.881271,3.5589159,1,0,7,3437000
34,1928,59.544922,-4.0329695,1,1,1,3601000
34,1932,60.690617,27.324898,3,0,2,3746000
34,1934,51.169151,19.832119,1,0,1,3784000
34,1938,49.89296,21.541695,3,0,5,3781000
34,1944,53.588261,-0.11554658,3,0,1,3560000
34,1946,53.986538,-5.6167989,1,0,1,3746000
34,1950,56.410049,7.2359114,3,3,1,3955000
34,1952,66.450554,8.0484419,1,0,1,3972000
34,1958,66.552856,32.901108,1,0,4,4186000
34,1962,51.019745,9.1305523,3,0,3,4357000
34,1964,51.049526,33.105705,1,0,7,4442000
34,1968,60.069527,2.0394921,3,0,1,4568000
34,1970,42.496109,2.9229403,1,0,10,4677623
34,1974,52.001751,20.790035,3,0,4,4795930
34,1976,49.14925,-14.442503,1,0,1,4839029
34,1980,47.357422,4.3279858,3,0,7,4916686
34,1982,31.750166,-1.7004609,1,0,4,4929451
34,1986,44.925892,-5.2789927,3,0,1,5023068
34,1988,35.698906,-35.950809,1,0,7,5081736
34,1992,43.771122,-6.9613514,3,0,4,5193686
34,1994,50.466591,-24.023893,1,,,5281206
34,1998,42.797081,-8.9048653,3,,,5437562
34,2004,39.156681,-13.295439,3,,,5747741
34,2006,,2.2699058,1,,,5842704
34,2010,,-16.421312,3,,,5988927
35,1916,38.243084,4.0947256,1,3,4,1275000
35,1918,37.583237,-9.0290279,2,5,4,1266000
35,1922,38.720875,-18.593418,1,0,1,1312000
35,1924,39.741535,-24.833525,2,5,7,1333000
35,1930,18.359936,-17.093723,2,5,10,1380000
35,1934,41.491497,12.425452,1,1,1,1382000
35,1936,22.033096,-25.460264,2,5,13,1358000
35,1940,29.180931,-15.51221,1,0,1,1316000
35,1942,43.297768,-26.946964,2,0,1,1239000
35,1946,27.827444,-41.638138,1,0,4,1256000
35,1954,41.069691,-22.141945,2,8,1,1340000
35,1958,38.623466,-11.278716,1,1,4,1383000
35,1960,38.827351,-17.860624,2,8,4,1411000
35,1964,47.428566,-22.748808,1,1,7,1482000
35,1966,46.769497,-22.345301,2,8,7,1456000
35,1970,52.890564,-5.0576744,1,1,10,1485333
35,1972,67.616837,-6.3173146,2,8,10,1519013
35,1976,66.590675,5.8183761,1,0,1,1550911
35,1978,51.935844,35.291527,2,0,1,1563884
35,1984,58.902405,3.9192171,2,0,4,1588639
35,1988,54.781467,15.043124,1,0,1,1571477
35,1990,41.65316,17.979277,2,0,7,1580664
35,1994,51.000225,9.7770214,1,,,1621551
35,1996,14.637134,-14.484426,2,,,1647657
35,2000,63.882793,2.1853299,1,,,1711230
